index,entity,disambig_term,text,wikipedia_link
"78","ctm","CTM","I did my BE in CTM now working as Secretary role!",""
"79","luke","Luke","God Broke In, Mary, Joseph, Ron Gray, Luke, Matthew, December 10, December 11&lt;/tags&gt;&lt;embed_privacy&gt;anywhere&lt;/embed_privacy&gt;&lt;/video&gt;&lt;video&gt;&lt;id&gt;33168687&lt;/id&gt;&lt;title&gt;When","https://en.wikipedia.org/wiki/Luke_(name)"
"80","lewiston","Lewiston","erin andrews was born on may 4 1978 in lewiston maine usa as erin jill andrews","https://en.wikipedia.org/wiki/Lewiston,_Maine"
"81","flair","Flair","The elegant Flair lever's ornate details are reminiscent of a paper scroll.",""
"82","acl","ACL","Should I get both ACL reconstruction surgeries at the same time?","https://en.wikipedia.org/wiki/Anterior_cruciate_ligament"
"83","kk","KK","What are the capital requirements for KK and GK companies in Japan?","https://en.wikipedia.org/wiki/Kabushiki_gaisha"
"84","streets","Streets","Some good small local London pubs can be found only a few streets away which offered fantastic value for money meals and great beers (Tip here is to go to back street hidden away pubs, the meals are always home made and brillant and the beers are from local english breweries and not run of the mill ones that you could drink back home).","https://en.wikipedia.org/wiki/Street"
"85","alac","ALAC","<p>I'm using ffmpeg in the iPhone, reading an wma stream from an mms server, but I want to save the stream to an m4a file using the ALAC encoder in ffmpeg, the problem is that trying to save the raw stream, the stream processed using avcodec_decode_audio2 , the file is not even recognized with the wma format, and obviously, not played, so before convert the stream to m4a (using avcodec_encode_audio) I want to be sure that the streaming is being processed and saved correctly.","https://en.wikipedia.org/wiki/Apple_Lossless"
"86","nag","Nag","Without exception, all cholera vibrios (including the NAG serotypes) reacted with H sera.",""
"87","sixth","Sixth","What should someone expect during their sixth post-op tonsillectomy day?","https://en.wikipedia.org/wiki/6"
"88","saa","SAA","Lesser, though significant, elevations were also found after subcutaneous injection of 25 mg of casein, bovine serum albumin, ovalbumin, or monomeric immunoglobulin G, whereas pyrogen-free human serum albumin/U. S. Pharmacopeia failed to raise SAA levels.","https://en.wikipedia.org/wiki/Serum_amyloid_A"
"89","widget","Widget","(i.e. does it get the Lock on LoggingWidget first, and then gets the lock on Widget ? )","https://en.wikipedia.org/wiki/Software_widget"
"90","call","Call","An average call with VoIP uses approximately 2 MB (4 minute call).","https://en.wikipedia.org/wiki/Telephone_call"
"91","emf","EMF","<p>Does anybody know of a library or a piece of code that can read EMF (Enhanced Metafiles).","https://en.wikipedia.org/wiki/Windows_Metafile#Variants"
"92","diet","Diet","For example, if you eat a 2,000-calorie diet, shoot for 225 to 325 grams of carbs per day; and if you eat 2,500 calories a day, aim for 281 to 406 grams of carbs.","https://en.wikipedia.org/wiki/Diet_(nutrition)"
"93","william","William","<p>c:/ruby/binnuby.exe -w c:/Documents and Settings/William/","https://en.wikipedia.org/wiki/William"
"94","bps","BPS","I cannot see any instance of the process when I run on BPS version 2.1.0.","https://en.wikipedia.org/wiki/IBM_Basic_Programming_Support"
"95","kerberos","Kerberos","I got a python Kerberos module installation error.","https://en.wikipedia.org/wiki/Kerberos_(protocol)"
"96","estate","Estate","{{Plot}} On Thanksgiving Day, 1983, student Marty Pascal ([[Josh Hamilton  brings his fiancÃ©e, Lesly , home to his family's McLean, Virginia estate to meet them for the first time.","https://en.wikipedia.org/wiki/Estate_(land)"
"97","atomic","Atomic","It's been 100 percent for quite a while now, said Shiffrin, the charismatic competitor whose list of sponsors includes Red Bull, Barilla, Atomic, Longines and Oakley.","https://en.wikipedia.org/wiki/Atomic_Skis"
"98","oms","OMS","What does OMS mean?",""
"99","tilt","Tilt","GoPro 3-axis adapter features Panavise ball for Tilt, Turn and Rotate.","https://en.wikipedia.org/wiki/Tilt_(camera)"
"100","dulcolax","Dulcolax","Which is better, Dulcolax or Miralax?","https://en.wikipedia.org/wiki/Bisacodyl"
"101","wt","WT","% nickel and 40 wt % titanium, is shown to be a prom-ising material for oil-lubricated, rolling and sliding contact applications such as bearings and gears.","https://en.wikipedia.org/wiki/Mass_fraction_(chemistry)"
"102","ahl","AHL","The Stars assigned D Stephen Johns to Texas of the AHL.","https://en.wikipedia.org/wiki/American_Hockey_League"
"103","maritime","Maritime","Burroughs said other Maritime provinces, such as Nova Scotia and Newfoundland, offer full provincial health care coverage for international students.","https://en.wikipedia.org/wiki/The_Maritimes"
"104","ne","NE","For example, adding [NE,R] means that the URL just appears in the browser address as the original:",""
"105","hack","Hack",">Hack on an existing gzip implementation and serialize its decompressor state every, say, 1 megabyte of compressed data.","https://en.wikipedia.org/wiki/Kludge#Computer_science"
"106","sankey","Sankey","What's a good tool to create Sankey diagrams?","https://en.wikipedia.org/wiki/Sankey_diagram"
"107","alpine","Alpine","The film stars Glee's Darren Criss as a fashion exec who is kidnapped in Milan and taken to a remote Alpine village that is under a romantic spell.","https://en.wikipedia.org/wiki/Alps"
"108","kong","Kong","As Godzilla has been designated a protector of mankind, in the 2014 film, should Kong be made a villain?","https://en.wikipedia.org/wiki/King_Kong"
"109","die","Die","Top Japanese Official Urges Elderly to Hurry Up and Die","https://en.wikipedia.org/wiki/Death"
"110","bmp","BMP","<p>I have a table with a binary column which stores files of a number of different possible filetypes (PDF, BMP, JPEG, WAV, MP3, DOC, MPEG, AVI etc.), but no columns that store either the name or the type of the original file.","https://en.wikipedia.org/wiki/BMP_file_format"
"111","dec","Dec","Is cipla stock today closed at 566 a good buy for short-term in Dec futures?","https://en.wikipedia.org/wiki/December"
"112","driver","Driver","Driver deliberately runs over 17 kangaroos on 100m-stretch of road outside Brisbane in Australia","https://en.wikipedia.org/wiki/Driving"
"113","mb","MB","Egypt's Muslim Brotherhood want to delete video of MB members doing the Harlem Shake from the Internet.","https://en.wikipedia.org/wiki/Muslim_Brotherhood"
"114","site","Site","Now there are many roles to one site, so on the Role class there is a Site property that represents that relationship.","https://en.wikipedia.org/wiki/Location_(geography)"
"115","racket","Racket","<p>I've built a rather complex application with Racket (formerly PLT Scheme) and would like to add a REPL for debugging purposes.","https://en.wikipedia.org/wiki/Racket_(programming_language)"
"116","lda","LDA","Recently, I implemented Gibbs sampling for LDA topic model on Python using numpy, taking as a reference some code from a site.","https://en.wikipedia.org/wiki/Latent_Dirichlet_allocation"
"117","crane","Crane","This was not traffic noise, cable cars, or the &quot;general excitement of the city.&quot; It was a 50-foot crane doing heavy construction work, including posthole digging, overnight from 11 p.m. to 4 a.m.,","https://en.wikipedia.org/wiki/Crane_(machine)"
"118","idm","IDM","Why isn't the IDM download panel appearing?","https://en.wikipedia.org/wiki/Internet_Download_Manager"
"119","middletown","Middletown","Flynn, who turns 58 in December, is a native of Middletown, Rhode Island.","https://en.wikipedia.org/wiki/Middletown,_Rhode_Island"
"120","alg","ALG","Eighteen patients (67 per cent) are presently alive after ALG alone at over 100 to over 550 days.","https://en.wikipedia.org/wiki/Anti-lymphocyte_globulin"
"121","solar","SOLAR","Allows you to easily operate a sliding glass doorUsed by various manufacturers including Solar IndMade with adjustable steel housing and a steel wheel1-1/8 in.",""
"122","ritesh","Ritesh","After a long time I am meeting Ritesh, Sajid and others.","https://en.wikipedia.org/wiki/Riteish_Deshmukh"
"123","taurus","Taurus","How do you turn off a 2003 Ford Taurus check engine light?","https://en.wikipedia.org/wiki/Ford_Taurus"
"124","deadline","Deadline","Which exam should I give first - Ã¢Â€ÂœTOEFLÃ¢Â€Â or Ã¢Â€ÂœGREÃ¢Â€Â; Deadline being this september to give both exams to apply for fall 2017?","https://en.wikipedia.org/wiki/Time_limit"
"125","dd","DD","What is the Prefix in SMS Message ID TM, TD, TA, TZ, AM, DZ, DM, VE, AT, VT, LM, VG, MD, MM, DT, BA, DD, BZ in Indian Bulk SMS Services?",""
"126","dora","Dora","DORA is a hand-blown glossy colored glass shade.",""
"127","el","El","Margaritaâ€™s father was the previous owner of el Paraiso.",""
"128","shin","Shin","Can I run half marathon in 2 weeks with Shin splints?","https://en.wikipedia.org/wiki/Tibia"
"129","fairness","Fairness","My tormentors, when I say I should be treated fairly, say Fairness is for losers.","https://en.wikipedia.org/wiki/Justice"
"130","ami","Ami","Without doubt, early (8 to 9:30) breakfast at Mon ami Gabi's sidewalk cafe, watching people walk The Strip and (on weekends) being entertained by the Bellagio water display right across the street.",""
"131","allen","Allen","s enough to be a fan Of Woody allen.","https://en.wikipedia.org/wiki/Allen_(surname)"
"132","sixth","Sixth","When we were looking at the sixth-generation Camaro and decided we were going to do the 2.0-liter turbo, nobody had one in the segment, says Oppenheiser.","https://en.wikipedia.org/wiki/6"
"133","nf","NF","St. John's, NF:","https://en.wikipedia.org/wiki/Newfoundland_and_Labrador"
"134","ui","UI","components/extensions/test/xpcshell/ , and are used to test low-level modules which do not require a browser UI, including those under toolkit/modules/addons/ , toolkit/","https://en.wikipedia.org/wiki/User_interface"
"135","washington state","Washington State","What is the academic pressure and workload at Washington State like?","https://en.wikipedia.org/wiki/Washington_(state)"
"136","st","ST","Its location is fab too, its about 5 min walk from Wangfujing st, just go out of the hotel and turn left and walk 5 mins and Wangfujing is on your left.","https://en.wikipedia.org/wiki/Street"
"137","ganymede","Ganymede","Did NASA receive alien signals from Ganymede?","https://en.wikipedia.org/wiki/Ganymede_(moon)"
"138","calder","Calder","b'I have never seen this in 30 years, Calder said.","https://en.wikipedia.org/wiki/Calder_(surname)"
"139","multnomah","Multnomah","The Multnomah is named after one of the largest waterfalls in the world.","https://en.wikipedia.org/wiki/Multnomah_Falls"
"140","commission","Commission","If TNT can get people to work for a 10% commission, so much the better for them.","https://en.wikipedia.org/wiki/Commission_(remuneration)"
"141","nikita","Nikita","Thanks to Nikita and Phillip for the help.","https://en.wikipedia.org/wiki/Nikita_(given_name)"
"142","luca","Luca","But I've also noticed in terms of characters, and Luca and Jeff, you can tell me what you think, but it's another one similar to Game of Thrones, where you're not really sure who's good Good or really if there are any good guys, good gals involved.","https://en.wikipedia.org/wiki/Luca_(given_name)"
"143","pore","Pore","cm 3 so ideally, a silt loamsoil has 50% pore space a bulk anddensity of1.33","https://en.wikipedia.org/wiki/Pore_space_in_soil"
"144","rover","Rover","We're taking over the Rover now, ok?)","https://en.wikipedia.org/wiki/Land_Rover"
"145","duster","Duster","Duster conveniently cleans wherever dust and dirt hide.",""
"146","electronic","Electronic","No installation required, convenient full function temperature sensing remote control, ionizer function for healthier air environment, 3 speed cool/fan with oscillating air louvers, advanced Bio Filter air filtration system eliminates dust, fungi, Electronic soft touch control panel with digital readout, 24 hr.","https://en.wikipedia.org/wiki/Electronics"
"147","bok","Bok","Things remain normal until Yun-bok goes out and comes across a playful seller of mirrors, Kang-Mu .","https://en.wikipedia.org/wiki/Bok_(surname)"
"148","uams","UAMS","UAMS will increase the salaries of postdoctoral researchers to keep them from qualifying for overtime pay.","https://en.wikipedia.org/wiki/University_of_Arkansas_for_Medical_Sciences"
"149","screen","Screen","Ample sized bedroom with Flat screen TV, Sky, Air Con Great Bath and Shower, modern decor, high ceilings, mini bar excellent Excellent Service from staff.","https://en.wikipedia.org/wiki/Television"
"150","helo","HELO",", Result: failed, Status: 5.5.1 501 Syntactically invalid HELO","https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol"
"151","mk","Mk","(MK 802) with Allwinner A10.",""
"152","rms","RMS","Does a voltmeter show RMS voltage?","https://en.wikipedia.org/wiki/Root_mean_square"
"153","hidden","Hidden","Other properties such as Hidden or Description were editable.",""
"154","al-shabab","Al-Shabab","The al-Qaida-linked al-Shabab has carried out several such attacks in Mogadishu this year as it continues a deadly guerrilla war across large parts of Somalia.","https://en.wikipedia.org/wiki/Al-Shabaab_(militant_group)"
"155","spa","SPA","Is it worrisome that lymph nodes swelled after a massage in SPA?","https://en.wikipedia.org/wiki/Day_spa"
"156","diet","Diet","Diet was controlled; menus on days 1 through 6 were repeated on days 7 through 12 with the addition of cranberry juice at each meal.","https://en.wikipedia.org/wiki/Diet_(nutrition)"
"157","mta","MTA","Also, if there's any way that I could PROVE the switch between MTA and STA (through some debugger magic - even looking at the assembler!)","https://en.wikipedia.org/wiki/Component_Object_Model#Threading"
"158","ideal","Ideal","The restaurant is nothing to write home about but is good value (Â£14.99 for two courses) and is open late until 10:30 ideal if you have arrived late.","https://en.wikipedia.org/wiki/Ideal_(ethics)"
"159","greek","Greek","greek officials angry over media cat and mouse game","https://en.wikipedia.org/wiki/Greece"
"160","toi","Toi","How much truth is there in the TOI report claiming that Netaji Subhas Chandra Bose wanted ruthless dictatorship in India?","https://en.wikipedia.org/wiki/The_Times_of_India"
"161","mellon","Mellon","The lawsuit filed Tuesday in Pierce County Superior Court claims the Bank of New York Mellon mishandled the payback of interest on the loan and demand a lump-sum paying to cover its mistake.","https://en.wikipedia.org/wiki/Mellon_Financial"
"162","itchy","Itchy","There were no duvets, only horrible old itchy 10 year old blankets with clean sheets (a plus point).","https://en.wikipedia.org/wiki/Itch"
"163","wow","Wow","Blizzard cuts off Iranian Access to WoW because of 'U.S. trade sanctions'","https://en.wikipedia.org/wiki/World_of_Warcraft"
"164","springfield","Springfield","Gravel Switch, KY 40328, @1805 Booker Road Springfield, KY 40069, @2941 Perryville Road, US 150 Springfield, KY 40069, @2888 Bardstown Road Springfield, KY 40069, @2645 Bardstown Road Springfield, KY 40061, @9430 Bloomfield Road Bloomfield, KY 40008, @460 Buffalo Run Road Shepherdsville, KY 40165, @4877 Hwy","https://en.wikipedia.org/wiki/Springfield,_Kentucky"
"165","nex","NEX","(turist trap).If you don't have plans for the nex day take care!!",""
"166","bath","Bath","Fracking 'will ruin Bath's spa waters' | UK","https://en.wikipedia.org/wiki/Bath,_Somerset"
"167","warren","Warren","Besides Bernie and Sen. Warren, whom do you consider the most unimpeachable and committed populists currently in public office?","https://en.wikipedia.org/wiki/Warren_(name)"
"168","regular","Regular","Stayed 5 nights with a rate that I got on Orbitz (cheaper than calling the hotel, where you will reach a person in New York during regular hours)",""
"169","kinder","Kinder","Kinder, teilte die in GroÃŸbritannien ansÃ¤ssige Syrische",""
"170","fats","Fats","For example, a piece of human liver contains 80% water, 12% protein, 5% fats, 2% nucleic acids, 1% carbohydrate and less than 1% of other substances.","https://en.wikipedia.org/wiki/Fat"
"171","copa","COPA","Which one will be the winner in Copa America Brazil vs Peru?","https://en.wikipedia.org/wiki/Copa_América"
"172","shay","Shay",">I've converted the code Shay posted into C#, and it works :)",""
"173","oswald","Oswald","<p>I am using Google Fonts for the Oswald type","https://en.wikipedia.org/wiki/Oswald_(given_name)"
"174","trim","Trim","This ETL-classified high-efficiency dimmable Trim has received Energy Star Certification for year-round energy savings and is compatible with a dimmer switch for different illumination needs and increased energy saving.","https://en.wikipedia.org/wiki/Trimmer_(electronics)"
"175","ge","Ge","His administration has blocked more mergers than administrations in the recent past, including successful challenges to such mammoth deals as GE and Electrolux , Comcast and Time Warner , and Halliburton and Baker Hughes .","https://en.wikipedia.org/wiki/General_Electric"
"176","series","Series","Finally, the last listed outstanding bug is related to AMDâ€™s new Radeon RX 400 Series cards.",""
"177","rakhine","Rakhine","...violence between Buddhists and Muslims in Rakhine flared after three Muslims were detained following the rape and killing of a Buddhist woman.","https://en.wikipedia.org/wiki/Rakhine_State"
"178","chief","Chief","The exceptionally slim design of this 10-32 universal low-profile wall mount by CHIEF allows small LCD flat panel TVs to be mounted close to the wall.",""
"179","arq","ARQ","<p>I am working on creating a simulation for the selective-reject ARQ protocol for my networking class.","https://en.wikipedia.org/wiki/Automatic_repeat_request"
"180","flexi","Flexi","The 2 humidity-controlled, half-width drawers and the Flexi-Slide drawer help you store fresh fruits, veggies, and snacksClick Here for details on the services included with Delivery & Basic Hook-up and Installation options for Major Appliances",""
"181","greens","Greens","It was a large room with a microwave, refrigerator, and a flat screen tv, and it is located just off the north end of the strip (close to the Riveria), Wal-greens and Denny's was right across the street.",""
"182","broken","Broken","In the story  Unbroken , Akama was said to have taken in a larger amount of the fel energy that caused the draenei to mutate into the Broken draenei, which may explain his appearance.",""
"183","trent","Trent","Why did Airbus choose Trent 900 instead of the GE 90-115B engines for the Airbus A380?","https://en.wikipedia.org/wiki/Rolls-Royce_Trent"
